Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Anbe Sivam,2003,8.7,21K,"11,629","['Kamal Haasan', 'Madhavan', 'Kiran Rathod', 'Nassar', 'Santhana Bharathi', 'Uma Riyaz Khan', 'Yugi Sethu', 'Ilavarasu', 'Balu Anand', 'Seema', 'R.S. Shivaji', 'Laxmi Rattan', 'Chelladurai', 'Hillaary', 'Jacob', 'Madhaiyyan', 'Jaya Murali', 'Muthukalai']",Sundar C.,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
Golmaal,1979,8.5,19K,"39,634","['Amol Palekar', 'Bindiya Goswami', 'Deven Verma', 'Shobha Khote', 'Manju Singh', 'Dina Pathak', 'Pushpa', 'David Abraham', 'Yunus Parvez', 'Utpal Dutt', 'Ashwani', 'Harish Magon', 'Bhola', 'Amol Sen', 'Siddharth', 'Joshi', 'Chandramohan', 'Anjan Srivastav']",Hrishikesh Mukherjee,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.
Jai Bhim,2021,8.9,193K,898,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan', 'Prakash Raj', 'Rao Ramesh', 'Guru Somasundaram', 'M.S. Bhaskar', 'V. Jayaprakash', 'Sibi Thomas', 'Ilavarasu', 'Jayarao', 'Sujatha Sivakumar', 'Ravi Venkatraman', 'Tamizh', 'Kumaravel', 'Supergood Subramani', 'Bala Hasan']",T.J. Gnanavel,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
Nayakan,1987,8.6,20K,"17,539","['Kamal Haasan', 'Saranya Ponvannan', 'Delhi Ganesh', 'Janakaraj', 'Karthika', 'Nassar', 'Tinnu Anand', 'Nizhalgal Ravi', 'M.V. Vasudeva Rao', 'Pradeep Shakti']",Mani Ratnam,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll."
Pariyerum Perumal,2018,8.7,16K,"17,434","['Kathir', 'Anandhi', 'Yogi Babu', 'Lijeesh', 'Hari Krishnan', 'Shanmugha Rajan', 'G. Marimuthu', ""'Poo' Ram"", 'Karate Venkatesan', 'Anthony Dasan', 'Lizzie Antony', 'Masoud Tosifyan']",Mari Selvaraj,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
Rocketry: The Nambi Effect,2022,9.2,18K,70,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra', 'Misha Ghoshal', 'Shyam Renganathan', 'Muralidaran', 'Karthik Kumar', 'Sam Mohan', 'Rajeev Ravindranathan', 'Dinesh Prabhakar', 'Mohan Raman', 'Ron Donachie', 'Phyllis Logan', 'Vincent Riotta', 'Bijou Thaangjam', 'Jagan', 'Amaan']",Madhavan,"Based on the life of ISRO Scientist Nambi Narayanan who was framed of being a spy and arrested in 1994. Though free, he is still fighting for justice, with those police officials who have falsely implicated him, still free."
3 Idiots,2009,8.4,391K,875,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi', 'Kareena Kapoor', 'Boman Irani', 'Omi Vaidya', 'Olivier Lafont', 'Rahul Kumar', 'Parikshit Sahni', 'Farida Dadi', 'Amardeep Jha', 'Mukund Bhatt', 'Chaitali Bose', 'Jaaved Jaaferi', 'Jayant Kripalani', 'Arun Bali', 'Shoaib Ahmed']",Rajkumar Hirani,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Apur Sansar,1959,8.5,15K,"14,821","['Soumitra Chatterjee', 'Sharmila Tagore', 'Alok Chakravarty', 'Swapan Mukherjee', 'Tushar Bandyopadhyay', 'Gupi Banerjee', 'Panchanan Bhattacharya', 'Shanti Bhattacherjee', 'Jiten Bhons', 'Abhijit Chatterjee', 'Jogesh Chatterjee', 'Asha Devi', 'Belarani Devi', 'Sefalika Devi', 'Biren Ghosh', 'Dhiren Ghosh', 'Biresh Majumdar', 'Dhiresh Majumdar']",Satyajit Ray,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.
Manichitrathazhu,1993,8.7,11K,"32,603","['Shobana', 'Mohanlal', 'Suresh Gopi', 'Vinaya Prasad', 'Nedumudi Venu', 'Innocent', 'K.P.A.C. Lalitha', 'Sudheesh', 'Thilakan', 'Ganesh Kumar', 'Rudra', 'Kuthiravattam Pappu', 'Sridhar', 'Bhagyalakshmi', 'Durga Sundararajan', 'Fazil']",Fazil,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed."
Kumbalangi Nights,2019,8.5,15K,"12,316","['Shane Nigam', 'Soubin Shahir', 'Fahadh Faasil', 'Sreenath Bhasi', 'Mathew Thomas', 'Ramesh Thilak', 'Anna Ben', 'Jasmine Metivier', 'Grace Antony', 'Sheela Rajkumar', 'Riya Saira', 'Ambika Rao', 'Baiju Ezhupunna', 'Mirage', 'Ajith Moorkoth', 'Lali P.M.', 'Ansal Palluruthy', 'Deepu Palluruthy']",Madhu C. Narayanan,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love."
